Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,086338,2022,01,01,37.1,1,Y
IDCJAC0010,086338,2022,01,02,30.9,1,Y
IDCJAC0010,086338,2022,01,03,20.3,1,Y
IDCJAC0010,086338,2022,01,04,23.1,1,Y
IDCJAC0010,086338,2022,01,05,29.3,1,Y
IDCJAC0010,086338,2022,01,06,30.2,1,Y
IDCJAC0010,086338,2022,01,07,25.8,1,Y
IDCJAC0010,086338,2022,01,08,19.7,1,Y
IDCJAC0010,086338,2022,01,09,21.9,1,Y
IDCJAC0010,086338,2022,01,10,31.4,1,Y
IDCJAC0010,086338,2022,01,11,29.7,1,Y
IDCJAC0010,086338,2022,01,12,30.4,1,Y
IDCJAC0010,086338,2022,01,13,34.6,1,Y
IDCJAC0010,086338,2022,01,14,32.8,1,Y
IDCJAC0010,086338,2022,01,15,24.2,1,Y
IDCJAC0010,086338,2022,01,16,31.9,1,Y
IDCJAC0010,086338,2022,01,17,24.2,1,Y
IDCJAC0010,086338,2022,01,18,21.3,1,Y
IDCJAC0010,086338,2022,01,19,26.7,1,Y
IDCJAC0010,086338,2022,01,20,30.4,1,Y
IDCJAC0010,086338,2022,01,21,29.6,1,Y
IDCJAC0010,086338,2022,01,22,32.3,1,Y
IDCJAC0010,086338,2022,01,23,32.6,1,Y
IDCJAC0010,086338,2022,01,24,33.7,1,Y
IDCJAC0010,086338,2022,01,25,31.4,1,Y
IDCJAC0010,086338,2022,01,26,36.0,1,Y
IDCJAC0010,086338,2022,01,27,32.8,1,Y
IDCJAC0010,086338,2022,01,28,32.8,1,Y
IDCJAC0010,086338,2022,01,29,21.8,1,Y
IDCJAC0010,086338,2022,01,30,29.2,1,Y
IDCJAC0010,086338,2022,01,31,34.0,1,Y
IDCJAC0010,086338,2022,02,01,23.6,1,Y
IDCJAC0010,086338,2022,02,02,19.9,1,Y
IDCJAC0010,086338,2022,02,03,18.2,1,Y
IDCJAC0010,086338,2022,02,04,24.5,1,Y
IDCJAC0010,086338,2022,02,05,26.8,1,Y
IDCJAC0010,086338,2022,02,06,27.9,1,Y
IDCJAC0010,086338,2022,02,07,28.6,1,Y
IDCJAC0010,086338,2022,02,08,30.5,1,Y
IDCJAC0010,086338,2022,02,09,30.9,1,Y
IDCJAC0010,086338,2022,02,10,22.7,1,Y
IDCJAC0010,086338,2022,02,11,21.4,1,Y
IDCJAC0010,086338,2022,02,12,28.3,1,Y
IDCJAC0010,086338,2022,02,13,32.1,1,Y
IDCJAC0010,086338,2022,02,14,31.6,1,Y
IDCJAC0010,086338,2022,02,15,22.5,1,Y
IDCJAC0010,086338,2022,02,16,25.8,1,Y
IDCJAC0010,086338,2022,02,17,24.3,1,Y
IDCJAC0010,086338,2022,02,18,21.0,1,Y
IDCJAC0010,086338,2022,02,19,21.9,1,Y
IDCJAC0010,086338,2022,02,20,23.8,1,Y
IDCJAC0010,086338,2022,02,21,20.3,1,Y
IDCJAC0010,086338,2022,02,22,22.5,1,Y
IDCJAC0010,086338,2022,02,23,32.0,1,Y
IDCJAC0010,086338,2022,02,24,22.7,1,Y
IDCJAC0010,086338,2022,02,25,21.7,1,Y
IDCJAC0010,086338,2022,02,26,29.1,1,Y
IDCJAC0010,086338,2022,02,27,25.6,1,Y
IDCJAC0010,086338,2022,02,28,23.9,1,Y
IDCJAC0010,086338,2022,03,01,25.8,1,N
IDCJAC0010,086338,2022,03,02,29.6,1,N
IDCJAC0010,086338,2022,03,03,30.5,1,N
IDCJAC0010,086338,2022,03,04,32.5,1,N
IDCJAC0010,086338,2022,03,05,22.2,1,N
IDCJAC0010,086338,2022,03,06,21.8,1,N
IDCJAC0010,086338,2022,03,07,23.1,1,N
IDCJAC0010,086338,2022,03,08,20.7,1,N
IDCJAC0010,086338,2022,03,09,22.0,1,N
IDCJAC0010,086338,2022,03,10,20.4,1,N
IDCJAC0010,086338,2022,03,11,20.3,1,N
